subject,BIDS check,fmriprep check,Anat,epi_r1,sdc_r1,epi_r2,sdc_r2,epi_r3,sdc_r3,epi_r4,sdc_r4,From TSV Files,fd_r1,min_r1,max_r1,mcflirt_3mm_r1,fd_r2
sub-001,no files found,,,,,,,,,,,,,,,,
sub-002,no files found,,,,,,,,,,,,,,,,
sub-003,pass,,,,,,,,,,,,,,,,
sub-004,pass,,,,,,,,,,,,,,,,
sub-005,missing files,,,,,,,,,,,,,,,,
sub-006,missing files,,,,,,,,,,,,,,,,
sub-007,pass,,,,,,,,,,,,,,,,
sub-008,pass,,,,,,,,,,,,,,,,
sub-009,pass,,,,,,,,,,,,,,,,
sub-010,missing files,,,,,,,,,,,,,,,,
sub-011,pass,,,,,,,,,,,,,,,,
sub-012,missing files,,,,,,,,,,,,,,,,
sub-013,pass,,,,,,,,,,,,,,,,
sub-014,pass,,,,,,,,,,,,,,,,
sub-015,pass,,,,,,,,,,,,,,,,
sub-016,pass,,,,,,,,,,,,,,,,
sub-017,pass,,,,,,,,,,,,,,,,
sub-018,missing files,,,,,,,,,,,,,,,,
sub-019,pass,,,,,,,,,,,,,,,,
sub-020,missing files,,,,,,,,,,,,,,,,
sub-021,pass,,,,,,,,,,,,,,,,
sub-022,pass,,,,,,,,,,,,,,,,
sub-023,pass,,,,,,,,,,,,,,,,
sub-024,missing files,,,,,,,,,,,,,,,,
sub-025,pass,,,,,,,,,,,,,,,,
sub-026,pass,,,,,,,,,,,,,,,,
sub-027,no files found,,,,,,,,,,,,,,,,
sub-028,pass,,,,,,,,,,,,,,,,
sub-030,pass,,,,,,,,,,,,,,,,
sub-031,missing files,,,,,,,,,,,,,,,,
sub-032,pass,,,,,,,,,,,,,,,,
sub-033,pass,,,,,,,,,,,,,,,,
sub-034,pass,,,,,,,,,,,,,,,,
sub-035,pass,,,,,,,,,,,,,,,,
sub-036,pass,,,,,,,,,,,,,,,,
sub-037,missing files,,,,,,,,,,,,,,,,
sub-038,pass,,,,,,,,,,,,,,,,
sub-039,pass,,,,,,,,,,,,,,,,
sub-040,missing files,,,,,,,,,,,,,,,,
sub-041,pass,,,,,,,,,,,,,,,,
sub-042,no files found,,,,,,,,,,,,,,,,
sub-043,pass,,,,,,,,,,,,,,,,
sub-044,pass,,,,,,,,,,,,,,,,
sub-045,missing files,,,,,,,,,,,,,,,,
sub-046,pass,,,,,,,,,,,,,,,,
sub-048,pass,,,,,,,,,,,,,,,,
sub-050,pass,,,,,,,,,,,,,,,,
sub-051,pass,,,,,,,,,,,,,,,,
sub-052,missing files,,,,,,,,,,,,,,,,
sub-053,pass,,,,,,,,,,,,,,,,
sub-054,missing files,,,,,,,,,,,,,,,,
sub-055,missing files,,,,,,,,,,,,,,,,
sub-056,missing files,,,,,,,,,,,,,,,,
